OMP_PLACES,OMP_PROC_BIND,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
x,x,5786038538,148963398,1500637,103962,334925,1355094,1263940
sockets,master,27297202262,150442263,1700977,1642194,1797323,73978,184910
sockets,close,34007684297,150880037,4067664,2406186,2018358,2094665,1672474
sockets,spread,34773402802,151731156,3957817,2137205,1902089,1728513,1815979
cores,master,26508645520,157396419,1138314,1051611,771428,29054,82354
cores,close,34921369876,153547518,4024568,2053967,2036851,2187187,1639415
cores,spread,34354526176,156206263,4497265,2213334,1602088,2054501,1780726
threads,master,19812792934,152484836,907921,774842,983213,103140,156515
threads,close,25144673624,167180706,5268363,2463223,1842865,1353568,2353159
threads,spread,26672646224,173538855,4319389,2270206,1888340,2739335,1943248
