OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
x,x,123353103,614401226,5426770554,120000
sockets,master,1937605,9617949,88412324,1997
sockets,close,1935434,9618015,89488583,1995
sockets,spread,1935223,9618143,89594102,1995
cores,master,1936112,9617952,89315802,1998
cores,close,1939443,9618105,89898961,1996
cores,spread,1936286,9618233,89920508,1996
threads,master,1877793,9617949,89881110,1998
threads,close,1938181,9618201,86429157,1995
threads,spread,1938795,9618141,86436803,1995
x,x,123338740,614401226,5427242979,120000
sockets,master,1937696,9617949,87870527,2002
sockets,close,1935726,9618015,89624279,1996
sockets,spread,1938711,9618143,89599661,1995
cores,master,1936518,9617949,89917373,2009
cores,close,1938965,9618105,89821787,1996
cores,spread,1938302,9618233,89918853,1995
threads,master,1878079,9617949,89884772,1999
threads,close,1940811,9618201,86386403,1995
threads,spread,1940932,9618144,86376551,1995
x,x,123334927,614401226,5426659448,120000
sockets,master,1941556,9617949,89917719,1995
sockets,close,1941513,9618015,89627421,1995
sockets,spread,1936261,9618143,89542289,1995
cores,master,1938763,9617949,89815822,2006
cores,close,1936613,9618105,89920442,1995
cores,spread,1936567,9618233,89920302,1995
threads,master,1877238,9617949,89920511,1999
threads,close,1937861,9618204,86753282,1995
threads,spread,1939727,9618141,86386257,1995
x,x,123334748,614401226,5427280606,120000
sockets,master,1940853,9617949,89917390,1996
sockets,close,1936645,9618015,89731924,1995
sockets,spread,1936159,9618143,89770688,1995
cores,master,1933624,9617949,89918475,1996
cores,close,1940782,9618105,89909071,1995
cores,spread,1938681,9618233,89826465,1995
threads,master,1882051,9617949,89875022,1999
threads,close,1931662,9618201,87004100,1996
threads,spread,1938168,9618141,86101899,1995
x,x,123337229,614401226,5427242398,120000
sockets,master,1937727,9617949,88008902,1996
sockets,close,1934917,9618015,89468390,1996
sockets,spread,1934134,9618143,89443225,1995
cores,master,1935784,9617949,89687865,2000
cores,close,1937778,9618105,89794768,1996
