OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
x,x,1423829214,4797389061,144137477,1160740,1082894,669353,6,0
sockets,master,325688383,24912109700,142837481,1543959,1519249,983218,1013,191
sockets,close,211909946,24866857672,149562029,1682822,1546472,866788,12735,1808
sockets,spread,216985394,25166063157,155132284,1553398,1434304,1060716,12658,1688
cores,master,3088526623,22073230800,145231323,739208,730012,221658,17,55
cores,close,199661088,24881104752,146526304,1580125,1458731,1207367,76754,4782
cores,spread,196197977,24194400909,137683825,1698956,1646888,1057036,67101,3959
threads,master,5411231214,20029148024,140686916,280168,275760,206500,313,49
threads,close,158042991,14682159679,164742424,1711718,1444159,788094,66007,4893
threads,spread,149002195,12749928020,162532495,1717197,1433477,643493,61514,4293
x,x,1442956862,4758537596,148271373,1276322,1119830,824440,400,0
sockets,master,319392794,24964189842,144464859,1537240,1491585,925340,1498,176
sockets,close,191224368,24763958921,148508111,1591124,1501386,1097574,11674,1724
sockets,spread,207015865,24289714229,149924945,1555622,1453691,1133718,14147,1514
cores,master,3329756027,24551925251,145932667,696665,677947,215153,34,59
cores,close,204285705,24598374930,146808363,1653798,1526932,1085508,72261,5524
cores,spread,201089730,24813890662,152895157,1602723,1431528,1257272,75598,5073
threads,master,5294657894,19702979150,138265675,280302,281119,198463,34,52
threads,close,140015853,14515768640,147658403,1441654,1269300,1270144,85949,5087
threads,spread,145492154,12629289972,165740666,1814971,1512967,699465,59820,4602
x,x,1420859170,4811797116,143858587,1197483,1120192,715172,6,3
sockets,master,322220607,25170101707,144772940,1553292,1505215,919532,1450,179
sockets,close,213430369,24028961356,148642418,1606020,1497761,880855,14809,1493
sockets,spread,206130176,23581904984,158087288,1730000,1558384,773343,12798,1463
cores,master,3241243917,23879631068,145789541,721169,700666,207143,27,45
cores,close,197555228,24418156513,145820718,1659510,1558837,1006481,65698,4641
cores,spread,205914205,24140761061,136393828,1589699,1574169,1134480,73992,4701
threads,master,5246598531,19646227600,140210990,293878,286040,221897,46,61
threads,close,141215605,13261750648,158224498,1851785,1592781,758555,63946,4221
threads,spread,147901165,14496016454,159787554,1968167,1628587,828463,60557,4175
x,x,1438384462,4756306942,144100471,1309477,1234000,800686,388,0
sockets,master,318836443,25630787744,143160273,1594905,1577543,1027635,1120,398
sockets,close,209145969,25133365699,145707050,1536880,1463700,1198196,17108,1672
sockets,spread,210391462,24884535685,148022185,1569824,1484456,1070280,11827,1713
cores,master,3364752098,24516184251,144316545,697083,687713,234957,96,84
cores,close,204615120,24144844364,142643560,1646506,1557219,1048428,70574,4899
cores,spread,209823463,23991082518,141215113,1657921,1524208,1063957,71851,4423
threads,master,5323498188,19827209212,138606096,283944,281198,225440,14,79
threads,close,151725463,13267195496,162080069,1743554,1460625,874598,65680,4939
threads,spread,223055380,19787993184,139493600,1495237,1436266,1295676,79538,4583
x,x,1681580688,5686255537,142461451,1235099,1187081,655422,3,0
sockets,master,311457844,25400103587,148380964,1673737,1617221,1062638,1257,401
sockets,close,209322292,23773280756,139784333,1688067,1701374,950059,13012,1620
sockets,spread,214987220,24349499950,156065383,1443430,1320459,1217012,15292,1581
cores,master,3274565955,24265773170,142516825,696368,702482,225795,23,58
cores,close,201759407,24639081439,148182847,1659477,1530757,1081684,73460,5009
cores,spread,192948838,24289398240,143394392,1696941,1563553,1123558,71716,5074
threads,master,5268464807,19567526108,141871971,289558,282546,216950,41,101
threads,close,141237990,13252425667,139583807,1417580,1383781,1019741,78851,4852
threads,spread,150269508,13130837229,132004835,1376399,1366390,785592,79907,4539
x,x,1425341446,4761093945,134492707,1129458,1211073,663990,213,0
sockets,master,291923870,23108123272,144398026,1688443,1674583,1149669,1127,386
sockets,close,204707593,23926147879,144266226,1725241,1666487,913294,14261,1425
