OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
x,x,30811646,327680862,1781774958,40000
sockets,master,486178,5137549,32960266,759
sockets,close,485872,5137615,32959082,756
sockets,spread,486090,5137743,32958570,755
cores,master,485611,5137549,32374021,760
cores,close,485158,5137705,32961363,755
cores,spread,484253,5137833,32836331,755
threads,master,473668,5137549,32692513,759
threads,close,484885,5137801,29473907,756
threads,spread,487279,5137744,28963797,755
x,x,30807240,327680862,1781774385,40000
sockets,master,486615,5137549,32959789,756
sockets,close,485483,5137615,32933846,755
sockets,spread,486260,5137746,32595030,755
cores,master,480988,5137549,32961275,757
cores,close,486265,5137705,32942386,755
cores,spread,486213,5137833,32961215,755
threads,master,477265,5137549,32459412,759
threads,close,484956,5137804,29865966,755
threads,spread,486289,5137741,29130642,756
x,x,30808494,327680862,1781765626,40001
sockets,master,482349,5137555,32107838,759
sockets,close,482705,5137615,32354154,755
sockets,spread,488583,5137743,32677836,756
cores,master,483105,5137549,32927790,756
cores,close,486714,5137705,32941711,756
cores,spread,485074,5137833,32956218,755
threads,master,474059,5137549,32747537,759
threads,close,486294,5137801,28985696,755
threads,spread,485665,5137741,28758908,755
x,x,30819147,327680862,1780892744,40000
sockets,master,486396,5137552,32659675,755
sockets,close,485997,5137615,32647533,756
sockets,spread,485398,5137743,32592647,755
cores,master,482973,5137549,32959875,760
cores,close,486302,5137705,32961206,755
cores,spread,485086,5137833,32880490,756
threads,master,474697,5137549,32821417,759
threads,close,485167,5137801,28839821,755
threads,spread,485457,5137741,28840600,755
x,x,30808220,327680862,1781775097,40000
sockets,master,483789,5137553,30996587,756
sockets,close,486029,5137615,32593139,755
sockets,spread,486027,5137743,32587252,755
cores,master,478892,5137552,32495722,755
cores,close,486707,5137705,32961201,755
cores,spread,486098,5137833,32909717,755
threads,master,475055,5137549,32843240,759
threads,close,484296,5137801,29686480,755
threads,spread,485383,5137741,29126453,756
x,x,30807372,327680862,1781779702,40000
sockets,master,485201,5137549,31235063,757
sockets,close,485973,5137615,32544996,755
sockets,spread,486301,5137743,32551552,755
cores,master,477143,5137552,31899100,755
cores,close,486260,5137705,32897028,755
cores,spread,484900,5137833,32887916,755
threads,master,475509,5137549,32788044,758
threads,close,485662,5137801,29540555,756
threads,spread,485338,5137741,29509555,755
x,x,30805879,327680862,1781788107,40000
sockets,master,486604,5137549,32922371,755
sockets,close,487379,5137615,32835292,755
sockets,spread,485589,5137743,32747241,755
cores,master,484357,5137549,32959760,759
cores,close,485442,5137705,32930733,755
cores,spread,485153,5137833,32961522,755
threads,master,476058,5137549,32740240,759
threads,close,486301,5137801,28997195,755
threads,spread,482732,5137741,28716815,756
x,x,30806415,327680862,1781781459,40000
sockets,master,483729,5137549,32455340,755
sockets,close,485576,5137615,32785121,755
sockets,spread,488017,5137743,32470006,756
cores,master,483027,5137549,32959935,755
cores,close,486420,5137705,32944034,755
cores,spread,485123,5137833,32956513,755
threads,master,475571,5137549,32807849,759
threads,close,486837,5137804,28865611,755
threads,spread,487423,5137741,29239616,755
x,x,30807993,327680862,1781784466,40000
sockets,master,484547,5137549,31092082,759
sockets,close,485660,5137615,32809627,755
sockets,spread,485480,5137743,32512993,755
cores,master,478873,5137549,32776484,755
cores,close,485604,5137705,32961205,755
cores,spread,485799,5137833,32926005,755
threads,master,475694,5137549,32797282,759
threads,close,485937,5137801,29164608,756
threads,spread,486254,5137741,28841177,755
x,x,30807737,327680862,1781713552,40000
sockets,master,485397,5137549,31062086,756
sockets,close,485821,5137615,32537211,755
sockets,spread,485913,5137743,32442340,755
cores,master,483267,5137552,31875434,755
cores,close,485802,5137705,32958480,755
cores,spread,484796,5137833,32911687,755
threads,master,478953,5137549,32857771,758
threads,close,485563,5137801,28867863,755
threads,spread,485121,5137741,28940922,755
x,x,30814265,327680862,1781774442,40000
sockets,master,483550,5137549,32661229,755
sockets,close,485864,5137615,32461738,755
sockets,spread,483169,5137743,32558202,755
cores,master,481858,5137549,32960539,755
cores,close,485794,5137705,32960975,755
cores,spread,485586,5137833,32959850,755
threads,master,473959,5137549,32759794,759
threads,close,485494,5137804,29701721,755
threads,spread,485328,5137744,29394477,755
x,x,30805677,327680862,1781780650,40000
sockets,master,485863,5137552,30908493,757
sockets,close,486528,5137615,32585390,755
sockets,spread,485409,5137743,32606791,755
cores,master,485747,5137549,32762780,759
cores,close,485666,5137705,32933429,755
cores,spread,484754,5137833,32925368,755
threads,master,473578,5137549,32867334,759
threads,close,486344,5137804,29626255,755
threads,spread,486415,5137741,29139485,755
x,x,30805710,327680862,1781775187,40000
sockets,master,485115,5137549,30952117,756
sockets,close,486566,5137615,32582035,755
sockets,spread,486717,5137743,32484663,756
cores,master,483193,5137549,32960469,758
cores,close,486079,5137705,32961150,755
cores,spread,485881,5137833,32883678,755
threads,master,474168,5137549,32801822,759
threads,close,485344,5137801,28888697,756
threads,spread,485769,5137744,31399769,755
x,x,30820425,327680862,1780798724,40000
sockets,master,483738,5137555,32358367,755
sockets,close,486319,5137615,32916824,755
