OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
x,x,461276125,1466004261,32200952,158618,156937,386636,398,0
sockets,master,161232336,12766122841,32544649,130215,131943,345466,443,260
sockets,close,159613120,18826587844,33125934,96478,87704,137180,3920,867
sockets,spread,146439108,16297181091,32237593,97393,102270,145798,4043,896
cores,master,2547726616,18734089887,32795697,161124,160657,155823,187,64
cores,close,141546024,18342424000,33567250,99230,78100,111598,14350,2518
cores,spread,140793335,17570274001,31456707,126488,106275,161904,16924,2348
threads,master,4367408183,16453617989,32779861,172216,166767,201344,218,60
threads,close,87704270,6537301266,26845013,117508,84146,59539,7519,1170
threads,spread,89071919,6773811029,22624716,87973,85435,274593,11200,1015
x,x,458466022,1482442479,32396457,159559,157543,387884,391,0
sockets,master,153592972,12659461043,34339165,126339,114475,321736,413,205
sockets,close,150773132,18075618012,32812823,92747,83844,149134,3966,1095
sockets,spread,157129305,17322447901,33093478,97725,86734,120596,4208,914
cores,master,2509388213,18863239525,33444805,165223,159531,144851,45,67
cores,close,140033141,17537507403,31615815,82443,68004,201282,18910,2509
cores,spread,139399849,18980927851,32689456,93304,70170,113628,16479,2620
threads,master,4468807237,16949564183,32744653,167700,165381,200960,10,81
threads,close,67599493,5594792171,43841243,102935,64743,52984,9141,3121
threads,spread,92205516,8156317762,41376620,99106,73784,58832,10212,2119
x,x,456850370,1513271398,33405762,159279,152503,369380,387,0
sockets,master,143538560,11598837350,33217257,129539,119271,351777,133,225
sockets,close,163371037,17705454935,33481450,96364,86411,110141,4272,915
sockets,spread,160370412,17768722371,32416492,96317,83069,110727,3940,1018
cores,master,2263193501,16967234189,32390650,141137,140198,173623,299,102
cores,close,137736857,17898530509,32606827,93545,72701,85126,14611,2927
cores,spread,139195874,18146055113,32011365,90569,72048,104383,14181,2519
threads,master,4440095934,16745136249,32191267,171057,169349,211728,307,83
threads,close,103377266,9952222443,37904463,97967,62570,102313,14733,3206
threads,spread,63838746,4706195227,28267674,83689,79753,170591,7443,1771
x,x,457418326,1486419736,33243467,156365,156718,302791,394,0
sockets,master,239283341,19748758122,34117597,148368,142389,303347,432,213
sockets,close,163502913,19462647463,33869914,96183,88134,123211,3643,1240
sockets,spread,147792508,18773334959,31418105,98009,87925,123312,3275,1340
cores,master,2517252067,19451652710,32290625,155233,155032,160015,10,96
cores,close,140634691,18266305897,32045608,89912,73502,104846,14367,2260
cores,spread,141033036,18484261124,33382716,92466,72356,120862,15883,2696
threads,master,4279348642,16166156573,33043741,170900,168116,202875,109,47
threads,close,81097613,7839036862,32690479,87036,66470,96588,11272,3065
threads,spread,86706768,7621478768,24974624,69914,58757,254471,16152,2403
x,x,454264477,1498294977,32907830,158272,152130,372631,413,0
sockets,master,151951241,12977999823,35053113,126898,116763,331205,146,279
sockets,close,162457011,16688599690,30826682,92396,95290,125949,3721,1015
sockets,spread,169305695,18137373040,32352004,98294,87000,185112,3712,1112
cores,master,2350119545,17737091206,33238430,150629,145008,159433,31,89
cores,close,139983494,17951020040,31982478,88984,69442,125968,14878,2356
cores,spread,139802406,17825341304,31598643,89479,67501,125819,15130,2456
threads,master,4438452306,16841962946,33192303,168933,165292,203885,297,121
threads,close,72228177,6616181183,24631779,76162,70078,220798,9665,1684
threads,spread,83897643,8145151852,53667302,107917,62934,39286,14535,3672
x,x,465955821,1514132619,33491212,156412,152913,245919,0,0
sockets,master,147113193,12837226219,34751695,122881,112867,334181,233,312
sockets,close,156536344,17878854918,34161860,96064,86956,121818,3372,902
sockets,spread,161512374,18300258769,34022638,98413,90797,116801,3440,944
cores,master,2490675360,19167924710,32451219,159782,154565,164451,95,69
cores,close,139079231,17867430693,32174498,95942,76272,117869,13441,2408
cores,spread,141150140,18013478144,33171623,92222,75929,149059,15767,2283
threads,master,4376312214,16542766692,32782248,172254,168310,206218,74,86
threads,close,94332611,7558847942,35500034,102404,80688,76687,12026,2929
threads,spread,81794426,6895887881,28038761,82490,70935,107078,11486,1990
x,x,460811818,1505062470,33206050,160519,156639,297285,0,0
sockets,master,150808434,12582494380,33101741,123594,123156,351617,156,158
sockets,close,155021236,18025949885,34978780,95429,85679,102467,3902,930
sockets,spread,158593498,18453844510,32268436,103802,90898,111036,4186,1323
cores,master,2510603073,18750940558,33482445,153868,151500,161556,10,83
cores,close,143004847,18785779095,31280581,90800,66494,124626,16150,2939
cores,spread,138579033,18587070489,34871576,98676,76641,164428,18916,3166
threads,master,4305536134,16025908436,33362660,169936,163718,206595,314,64
threads,close,72341953,6461428475,34099823,71027,57532,463114,15976,3182
threads,spread,88310533,7126829739,43016887,99848,77073,67023,12761,2888
x,x,459810346,1511731082,33368460,156056,152965,312545,6,0
sockets,master,150031443,12413102935,34625905,131190,121164,325811,96,174
sockets,close,146646469,18557095840,35441016,103097,95026,124679,4391,750
sockets,spread,181301821,17615606927,32422933,93124,86001,130046,4156,946
cores,master,2342040939,17645913117,32358494,145152,147812,169068,74,79
cores,close,138750367,17827900874,32400457,101191,85252,134506,15207,2214
cores,spread,141544505,17623694618,31330536,90939,74868,179608,17729,1980
threads,master,4408745882,16479295034,32486920,167165,167621,205247,181,70
threads,close,70985733,6004560498,47672562,102058,59240,51018,9615,3553
threads,spread,85069088,8063271024,39220006,87383,60988,69389,13059,3249
x,x,457773720,1500427594,32443842,163765,157854,316644,0,0
sockets,master,187896745,15555242575,34060809,134671,128861,324245,152,143
sockets,close,141382835,17738602404,31158368,91286,97207,134577,2888,1067
sockets,spread,159299506,17874605003,31585739,94267,80524,109460,3626,962
cores,master,2238528415,16861384925,32164643,137279,136691,173759,355,61
cores,close,140437755,17915320981,32246851,92917,71722,146714,15616,2376
cores,spread,138607255,17966249416,31413013,90818,73698,116022,14498,2431
threads,master,4395820966,16602673705,33238243,170953,166246,192452,397,102
threads,close,74196908,6589372879,33719998,81473,65105,405279,12639,2419
threads,spread,66686903,6058898123,44801830,93957,61582,71406,13695,2866
x,x,466226248,1568840855,33665017,160726,157483,286220,10,0
sockets,master,153199966,12552665682,33083913,120090,119488,318694,472,112
sockets,close,151671864,17477360328,31935654,89949,85072,164465,3635,919
sockets,spread,146971050,17763977913,32064352,90499,83612,136151,4160,1053
cores,master,2497018051,18874434548,32538423,157608,150358,157189,311,85
cores,close,137989715,18188595416,32158141,95985,72246,131627,14166,3426
cores,spread,138011111,18402096675,32385904,90213,67620,153255,15748,2863
threads,master,4459628774,16407060234,32323540,167078,167017,195843,3,93
threads,close,85766442,6940726755,30210920,80133,65769,243959,10921,2355
threads,spread,89497107,7182647533,43946345,100996,77469,69779,11930,2787
x,x,454126619,1517464834,32984853,155190,150968,365692,3,0
sockets,master,153971993,12394088506,35408527,128033,119810,330731,77,105
sockets,close,167148012,17729268984,34377867,94663,86392,195781,4240,1021
sockets,spread,173212393,17528759570,31966863,88624,84529,141407,3324,1061
cores,master,2243774997,16812248641,32696097,142066,136620,172358,3,74
cores,close,140566203,17709800726,31546169,86898,71135,190493,17172,1915
cores,spread,140229002,18045097595,32764752,95260,75532,113785,14027,2406
threads,master,4391160913,16659881769,32212676,170087,168748,205068,17,109
threads,close,141568594,15326145542,39883052,111885,81186,131335,14740,2583
threads,spread,87476765,9128025320,44676465,81714,48565,230119,16747,4492
