OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
x,x,185137971,491360041,2316858,4388,954,96,408,0
sockets,master,1260804619,98721046107,3434641,7496,4203,1299,414,1267
sockets,close,617351637,99473919031,3530327,11324,3359,1009,5163,3932
sockets,spread,657862427,99634433123,3531821,10251,1713,684,4387,4005
cores,master,13793170087,101432359557,3223491,9984,6634,2228,13,472
cores,close,602298471,98122537142,3444142,15295,3427,1066,6736,9730
cores,spread,604910091,98310277107,3338700,15711,3257,840,6880,10032
threads,master,24913725924,92998981518,3073753,10688,7675,1495,468,239
threads,close,64389590,4901349485,1481415,16138,3197,1128,8534,2521
threads,spread,45387843,3764160951,1717508,13754,4282,1401,6938,6241
x,x,193151121,532351415,2482172,5135,1640,61,0,0
sockets,master,1186368594,99622358444,3483121,7358,3655,873,391,1199
sockets,close,615256466,99019099108,3350556,9577,2372,906,4080,2791
sockets,spread,634985098,98661581293,3312465,8891,3036,1025,4806,3908
cores,master,13755190066,101857975902,3269288,8604,5740,2058,166,610
cores,close,606075077,98607105860,3399351,15576,3549,853,6640,9850
cores,spread,610161138,98079282188,3337210,14573,3439,845,6480,10787
threads,master,25484630306,93383696132,3081337,13114,9684,1710,301,130
threads,close,67312709,2680699913,4670820,23812,3871,47,4329,4210
threads,spread,65052533,5524992674,3536970,10433,3625,1751,4764,8357
x,x,189577993,543313171,2505036,5260,1726,89,3,0
sockets,master,1193680495,99345279977,3459136,7463,3227,745,76,1213
sockets,close,622468428,98790962420,3499245,9107,2119,563,3891,2761
sockets,spread,616140406,99504252102,3507410,10370,3005,1133,3824,2439
cores,master,13718312257,101708521550,3311751,8982,5459,1856,77,499
cores,close,612651691,98720465621,3366323,14602,2685,1346,8328,9612
cores,spread,611864936,98161754492,3275236,14399,3256,1195,7059,10306
threads,master,24939858276,92908153308,3076558,11528,7707,1517,157,611
threads,close,81408922,6779825509,1472058,15114,3710,1145,4739,2894
threads,spread,49063726,5069249239,2614602,8507,3681,1450,7750,13028
x,x,250194476,756029431,2702640,314,1493,455,752,0
sockets,master,1186066129,99404647186,3419609,7527,4226,765,117,963
sockets,close,626260139,98711148989,3409708,12090,1860,994,5635,4449
sockets,spread,648594936,98748245007,3596619,9436,2451,1164,4006,2625
cores,master,13792822216,102242514284,3231980,11070,7778,1832,308,636
cores,close,600453826,98826060567,3392476,13933,2724,584,9586,9398
cores,spread,601781421,98765929056,3381282,14170,3131,437,10447,9283
threads,master,25043328122,93285261411,3015714,9868,6766,1617,204,513
threads,close,75560362,6897856710,4372769,19625,4602,1213,2341,14358
threads,spread,123008827,11464012919,2561987,16579,3440,1351,5482,8000
x,x,189444413,532475333,2481364,5391,1631,132,0,0
sockets,master,1173361902,97103767206,3352204,6743,2928,896,411,1081
sockets,close,645180114,99243682896,3562403,12129,2864,482,5145,3782
sockets,spread,639506386,99371666834,3507322,10219,2165,604,4630,3803
cores,master,13968648072,102531482182,3169306,10631,9014,4380,27,680
cores,close,603692829,98869771074,3416596,15288,3389,842,7684,9937
cores,spread,623666460,98931489947,3387927,15977,3174,650,10067,11329
threads,master,25110221558,93686648261,2999533,9926,6065,1699,154,548
threads,close,66933668,4417143347,2587223,15573,2808,1590,7152,8753
threads,spread,56312033,5230498286,3310097,13853,3384,774,6627,14881
x,x,189701072,525620478,2443259,4959,1684,54,0,0
sockets,master,1135815470,94182307366,3270816,3723,4027,2119,376,976
sockets,close,640419158,99524896601,3558101,10217,1847,426,4845,3982
sockets,spread,612374084,98147739217,3449544,9285,2399,949,3839,2517
cores,master,13772032423,102087169363,3307797,8810,4572,1529,80,441
cores,close,604449734,98379848978,3222226,12791,2629,872,9212,9608
